西暦（暦年）,地　域,国（地域）名・在外公館名,全体集計合計,全体集計前年比（増減率）,長期滞在者合計,長期滞在者全体比,長期滞在者前年比（増減率）,永住者合計,永住者全体比,永住者前年比（増減率）,成人数
2025年10月1日,中東,トルコ,"1,754 ",-0.1%,"1,077 ",61.4%,3.1%,677 ,38.6%,-4.8%,"1,350 "
2025年10月1日,中東,バーレーン,188 ,0.5%,171 ,91.0%,0.6%,17 ,9.0%,0.0%,138 
2025年10月1日,中東,パレスチナ,22 ,-12.0%,7 ,31.8%,-30.0%,15 ,68.2%,0.0%,20 
2025年10月1日,中東,ヨルダン,212 ,-8.2%,184 ,86.8%,-9.8%,28 ,13.2%,3.7%,166 
2025年10月1日,中東,レバノン,67 ,-14.1%,59 ,88.1%,-15.7%,8 ,11.9%,0.0%,56 
2025年10月1日,アフリカ,アルジェリア,43 ,4.9%,31 ,72.1%,-3.1%,12 ,27.9%,33.3%,35 
2025年10月1日,アフリカ,アンゴラ,55 ,3.8%,55 ,100.0%,3.8%,0 ,0.0%,-,43 
2025年10月1日,アフリカ,ウガンダ,212 ,9.8%,188 ,88.7%,11.9%,24 ,11.3%,-4.0%,190 
2025年10月1日,アフリカ,エジプト,757 ,-5.8%,534 ,70.5%,-6.2%,223 ,29.5%,-5.1%,603 
2025年10月1日,アフリカ,エスワティニ,11 ,-8.3%,11 ,100.0%,-8.3%,0 ,0.0%,-,8 
2025年10月1日,アフリカ,エチオピア,178 ,-4.3%,177 ,99.4%,-4.3%,1 ,0.6%,0.0%,142 
2025年10月1日,アフリカ,エリトリア,9 ,0.0%,9 ,100.0%,0.0%,0 ,0.0%,-,9 
2025年10月1日,アフリカ,ガーナ,253 ,-9.3%,228 ,90.1%,-6.9%,25 ,9.9%,-26.5%,208 
2025年10月1日,アフリカ,カーボベルデ,0 ,-100.0%,0 ,-,-100.0%,0 ,-,-,0 
2025年10月1日,アフリカ,ガボン,59 ,-6.3%,50 ,84.7%,-7.4%,9 ,15.3%,0.0%,46 
2025年10月1日,アフリカ,カメルーン,76 ,26.7%,76 ,100.0%,26.7%,0 ,0.0%,-,63 
2025年10月1日,アフリカ,ガンビア,5 ,25.0%,5 ,100.0%,25.0%,0 ,0.0%,-,5 
2025年10月1日,アフリカ,ギニア,34 ,9.7%,34 ,100.0%,9.7%,0 ,0.0%,-,29 
2025年10月1日,アフリカ,ギニアビサウ,1 ,0.0%,1 ,100.0%,0.0%,0 ,0.0%,-,1 
2025年10月1日,アフリカ,ケニア,828 ,0.2%,760 ,91.8%,0.1%,68 ,8.2%,1.5%,619 
2025年10月1日,アフリカ,コートジボワール,169 ,3.7%,158 ,93.5%,4.6%,11 ,6.5%,-8.3%,132 
2025年10月1日,アフリカ,コモロ,1 ,0.0%,1 ,100.0%,0.0%,0 ,0.0%,-,1 
2025年10月1日,アフリカ,コンゴ共和国,5 ,0.0%,4 ,80.0%,0.0%,1 ,20.0%,0.0%,4 
2025年10月1日,アフリカ,コンゴ民主共和国,67 ,-4.3%,56 ,83.6%,-5.1%,11 ,16.4%,0.0%,53 
2025年10月1日,アフリカ,サントメ・プリンシペ,0 ,-,0 ,-,-,0 ,-,-,0 
2025年10月1日,アフリカ,ザンビア,197 ,-2.5%,188 ,95.4%,-3.6%,9 ,4.6%,28.6%,171 
2025年10月1日,アフリカ,シエラレオネ,16 ,-11.1%,12 ,75.0%,-7.7%,4 ,25.0%,-20.0%,16 
2025年10月1日,アフリカ,ジブチ,51 ,4.1%,51 ,100.0%,4.1%,0 ,0.0%,-,45 
2025年10月1日,アフリカ,ジンバブエ,86 ,2.4%,71 ,82.6%,2.9%,15 ,17.4%,0.0%,67 
2025年10月1日,アフリカ,スーダン,2 ,-71.4%,2 ,100.0%,-71.4%,0 ,0.0%,-,2 
2025年10月1日,アフリカ,セーシェル,23 ,-8.0%,18 ,78.3%,-5.3%,5 ,21.7%,-16.7%,20 
2025年10月1日,アフリカ,赤道ギニア,8 ,-11.1%,8 ,100.0%,-11.1%,0 ,0.0%,-,2 
2025年10月1日,アフリカ,セネガル,219 ,-3.5%,219 ,100.0%,-3.5%,0 ,0.0%,-,171 
2025年10月1日,アフリカ,ソマリア,4 ,33.3%,4 ,100.0%,33.3%,0 ,0.0%,-,4 
2025年10月1日,アフリカ,タンザニア,223 ,-0.4%,223 ,100.0%,-0.4%,0 ,0.0%,-,172 
2025年10月1日,アフリカ,チャド,3 ,0.0%,3 ,100.0%,0.0%,0 ,0.0%,-,3 
2025年10月1日,アフリカ,中央アフリカ,1 ,-,1 ,100.0%,-,0 ,0.0%,-,1 
2025年10月1日,アフリカ,チュニジア,177 ,0.0%,168 ,94.9%,-1.2%,9 ,5.1%,28.6%,134 
2025年10月1日,アフリカ,トーゴ,9 ,28.6%,9 ,100.0%,28.6%,0 ,0.0%,-,9 
2025年10月1日,アフリカ,ナイジェリア,165 ,4.4%,143 ,86.7%,4.4%,22 ,13.3%,4.8%,140 
2025年10月1日,アフリカ,ナミビア,56 ,1.8%,49 ,87.5%,0.0%,7 ,12.5%,16.7%,46 
2025年10月1日,アフリカ,西サハラ,1 ,0.0%,1 ,100.0%,0.0%,0 ,0.0%,-,1 
2025年10月1日,アフリカ,ニジェール,7 ,0.0%,7 ,100.0%,0.0%,0 ,0.0%,-,5 
2025年10月1日,アフリカ,ブルキナファソ,41 ,13.9%,31 ,75.6%,19.2%,10 ,24.4%,0.0%,32 
2025年10月1日,アフリカ,ブルンジ,15 ,7.1%,12 ,80.0%,9.1%,3 ,20.0%,0.0%,11 
2025年10月1日,アフリカ,ベナン,86 ,-4.4%,79 ,91.9%,-6.0%,7 ,8.1%,16.7%,74 
2025年10月1日,アフリカ,ボツワナ,71 ,-6.6%,70 ,98.6%,-6.7%,1 ,1.4%,0.0%,60 
2025年10月1日,アフリカ,マダガスカル,189 ,3.8%,181 ,95.8%,4.0%,8 ,4.2%,0.0%,158 
2025年10月1日,アフリカ,マラウイ,124 ,-6.8%,115 ,92.7%,-6.5%,9 ,7.3%,-10.0%,106 
2025年10月1日,アフリカ,マリ,23 ,27.8%,11 ,47.8%,10.0%,12 ,52.2%,50.0%,13 
2025年10月1日,アフリカ,南アフリカ,"1,004 ",6.9%,761 ,75.8%,9.0%,243 ,24.2%,0.8%,772 
2025年10月1日,アフリカ,南スーダン,27 ,-48.1%,27 ,100.0%,-48.1%,0 ,0.0%,-,27 
2025年10月1日,アフリカ,モーリシャス,76 ,11.8%,57 ,75.0%,11.8%,19 ,25.0%,11.8%,56 
2025年10月1日,アフリカ,モーリタニア,22 ,-15.4%,22 ,100.0%,-15.4%,0 ,0.0%,-,19 
2025年10月1日,アフリカ,モザンビーク,186 ,25.7%,178 ,95.7%,25.4%,8 ,4.3%,33.3%,144 
2025年10月1日,アフリカ,モロッコ,450 ,6.6%,386 ,85.8%,7.5%,64 ,14.2%,1.6%,318 
2025年10月1日,アフリカ,リビア,15 ,-11.8%,5 ,33.3%,25.0%,10 ,66.7%,-23.1%,14 
2025年10月1日,アフリカ,リベリア,4 ,-20.0%,4 ,100.0%,-20.0%,0 ,0.0%,-,4 
2025年10月1日,アフリカ,ルワンダ,202 ,23.9%,197 ,97.5%,24.7%,5 ,2.5%,0.0%,151 
2025年10月1日,アフリカ,レユニオン（仏領）,40 ,2.6%,24 ,60.0%,-7.7%,16 ,40.0%,23.1%,25 
2025年10月1日,アフリカ,レソト,6 ,20.0%,1 ,16.7%,0.0%,5 ,83.3%,25.0%,3 
2025年10月1日,南極,南極,31 ,14.8%,31 ,0.0%,14.8%,0 ,0.0%,-,31 
